,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1912,078,2,720100_638.jpg,http://memoria.bn.br/docreader/720100/638
1,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1912,103,7,720100_855.jpg,http://memoria.bn.br/docreader/720100/855
2,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1912,120,4,720100_1004.jpg,http://memoria.bn.br/docreader/720100/1004
3,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1912,128,4,720100_1073.jpg,http://memoria.bn.br/docreader/720100/1073
4,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1913,271,7,720100_2298.jpg,http://memoria.bn.br/docreader/720100/2298
5,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1913,274,4,720100_2323.jpg,http://memoria.bn.br/docreader/720100/2323
6,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1913,428,3,720100_3668.jpg,http://memoria.bn.br/docreader/720100/3668
7,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1914,608,4,720100_5234.jpg,http://memoria.bn.br/docreader/720100/5234
8,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1914,787,3,720100_6625.jpg,http://memoria.bn.br/docreader/720100/6625
9,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1914,810,2,720100_6778.jpg,http://memoria.bn.br/docreader/720100/6778
10,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1915,046,2,720100_8617.jpg,http://memoria.bn.br/docreader/720100/8617
11,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1917,908,3,720100_15226.jpg,http://memoria.bn.br/docreader/720100/15226
12,"""honorio menelik""",2024-04-19,A Epoca (RJ) - 1912 a 1919,1919,395,2,720100_19291.jpg,http://memoria.bn.br/docreader/720100/19291
