,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""honorio menelik""",2024-04-19,Diario Carioca (RJ) - 1928 a 1929,1928,083,11,093092_01_947.jpg,http://memoria.bn.br/docreader/093092_01/947
1,"""honorio menelik""",2024-04-19,Diario Carioca (RJ) - 1928 a 1929,1928,120,4,093092_01_1360.jpg,http://memoria.bn.br/docreader/093092_01/1360
2,"""honorio menelik""",2024-04-19,Diario Carioca (RJ) - 1928 a 1929,1928,143,7,093092_01_1639.jpg,http://memoria.bn.br/docreader/093092_01/1639
