,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1911,125,9,NA,http://memoria.bn.br/docreader/030015_03/7908
1,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1911,257,8,NA,http://memoria.bn.br/docreader/030015_03/10085
2,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1911,258,10,NA,http://memoria.bn.br/docreader/030015_03/10103
3,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1911,268,8,NA,http://memoria.bn.br/docreader/030015_03/10269
4,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1912,019,9,NA,http://memoria.bn.br/docreader/030015_03/11182
5,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1912,137,12,NA,http://memoria.bn.br/docreader/030015_03/13211
6,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1914,192,9,NA,http://memoria.bn.br/docreader/030015_03/50943
7,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1914,346,9,NA,http://memoria.bn.br/docreader/030015_03/27409
8,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1916,296,9,NA,http://memoria.bn.br/docreader/030015_03/35659
9,"""honorio menelik""",2024-04-19,Jornal do Brasil (RJ) - 1910 a 1919,1919,227,7,NA,http://memoria.bn.br/docreader/030015_03/46429
