,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""centro civico sete de setembro""",2024-04-24,Revista da Semana (RJ) - 1900 a 1918,1912,634,34,025909_01_14941.jpg,http://memoria.bn.br/docreader/025909_01/14941
1,"""centro civico sete de setembro""",2024-04-24,Revista da Semana (RJ) - 1900 a 1918,1912,638,9,025909_01_15096.jpg,http://memoria.bn.br/docreader/025909_01/15096
2,"""centro civico sete de setembro""",2024-04-24,Revista da Semana (RJ) - 1900 a 1918,1913,696,28,025909_01_18050.jpg,http://memoria.bn.br/docreader/025909_01/18050
3,"""centro civico sete de setembro""",2024-04-24,Revista da Semana (RJ) - 1900 a 1918,1913,696,29,025909_01_18051.jpg,http://memoria.bn.br/docreader/025909_01/18051
4,"""centro civico sete de setembro""",2024-04-24,Revista da Semana (RJ) - 1900 a 1918,1913,697,32,025909_01_18106.jpg,http://memoria.bn.br/docreader/025909_01/18106
5,"""centro civico sete de setembro""",2024-04-24,Revista da Semana (RJ) - 1900 a 1918,1915,002,31,025909_01_20976.jpg,http://memoria.bn.br/docreader/025909_01/20976
