,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,Revista da Semana (RJ) - 1930 a 1939,1931,020,14,025909_03_3088.jpg,http://memoria.bn.br/docreader/025909_03/3088
1,"""conego olympio de castro""",2021-11-22,Revista da Semana (RJ) - 1930 a 1939,1931,020,17,025909_03_3091.jpg,http://memoria.bn.br/docreader/025909_03/3091
2,"""conego olympio de castro""",2021-11-22,Revista da Semana (RJ) - 1930 a 1939,1933,007,23,025909_03_6888.jpg,http://memoria.bn.br/docreader/025909_03/6888
3,"""conego olympio de castro""",2021-11-22,Revista da Semana (RJ) - 1930 a 1939,1934,007,25,025909_03_9198.jpg,http://memoria.bn.br/docreader/025909_03/9198
4,"""conego olympio de castro""",2021-11-22,Revista da Semana (RJ) - 1930 a 1939,1937,007,27,025909_03_16942.jpg,http://memoria.bn.br/docreader/025909_03/16942
