,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,O Radical (RJ) - 1932 a 1943,1932,122,12,830399_1077.jpg,http://memoria.bn.br/docreader/830399/1077
1,"""conego olympio de castro""",2021-11-22,O Radical (RJ) - 1932 a 1943,1932,024,5,830399_1477.jpg,http://memoria.bn.br/docreader/830399/1477
2,"""conego olympio de castro""",2021-11-22,O Radical (RJ) - 1932 a 1943,1933,220,1,830399_2312.jpg,http://memoria.bn.br/docreader/830399/2312
3,"""conego olympio de castro""",2021-11-22,O Radical (RJ) - 1932 a 1943,1933,300,17,830399_3239.jpg,http://memoria.bn.br/docreader/830399/3239
4,"""conego olympio de castro""",2021-11-22,O Radical (RJ) - 1932 a 1943,1933,375,8,830399_3964.jpg,http://memoria.bn.br/docreader/830399/3964
5,"""conego olympio de castro""",2021-11-22,O Radical (RJ) - 1932 a 1943,1933,487,2,830399_4902.jpg,http://memoria.bn.br/docreader/830399/4902
6,"""conego olympio de castro""",2021-11-22,O Radical (RJ) - 1932 a 1943,1935,890,6,830399_6941.jpg,http://memoria.bn.br/docreader/830399/6941
7,"""conego olympio de castro""",2021-11-22,O Radical (RJ) - 1932 a 1943,1935,898,6,830399_7005.jpg,http://memoria.bn.br/docreader/830399/7005
