,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1930,455,5,093092_02_142.jpg,http://memoria.bn.br/docreader/093092_02/142
1,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1930,533,12,093092_02_1087.jpg,http://memoria.bn.br/docreader/093092_02/1087
2,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1930,537,3,093092_02_1130.jpg,http://memoria.bn.br/docreader/093092_02/1130
3,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1930,547,10,093092_02_1261.jpg,http://memoria.bn.br/docreader/093092_02/1261
4,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1930,547,11,093092_02_1262.jpg,http://memoria.bn.br/docreader/093092_02/1262
5,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1930,588,3,093092_02_1774.jpg,http://memoria.bn.br/docreader/093092_02/1774
6,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1930,674,10,093092_02_2505.jpg,http://memoria.bn.br/docreader/093092_02/2505
7,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1930,688,4,093092_02_2675.jpg,http://memoria.bn.br/docreader/093092_02/2675
8,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1931,787,5,093092_02_3734.jpg,http://memoria.bn.br/docreader/093092_02/3734
9,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1931,791,4,093092_02_3781.jpg,http://memoria.bn.br/docreader/093092_02/3781
10,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1931,814,10,093092_02_4059.jpg,http://memoria.bn.br/docreader/093092_02/4059
11,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1931,816,10,093092_02_4083.jpg,http://memoria.bn.br/docreader/093092_02/4083
12,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1931,817,10,093092_02_4095.jpg,http://memoria.bn.br/docreader/093092_02/4095
13,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1931,868,3,093092_02_4697.jpg,http://memoria.bn.br/docreader/093092_02/4697
14,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1931,035,7,093092_02_6490.jpg,http://memoria.bn.br/docreader/093092_02/6490
15,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1932,158,3,093092_02_7590.jpg,http://memoria.bn.br/docreader/093092_02/7590
16,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1932,188,7,093092_02_7858.jpg,http://memoria.bn.br/docreader/093092_02/7858
17,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1932,190,2,093092_02_7869.jpg,http://memoria.bn.br/docreader/093092_02/7869
18,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1932,223,2,093092_02_8129.jpg,http://memoria.bn.br/docreader/093092_02/8129
19,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1932,295,2,093092_02_8607.jpg,http://memoria.bn.br/docreader/093092_02/8607
20,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1933,362,9,093092_02_9390.jpg,http://memoria.bn.br/docreader/093092_02/9390
21,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1933,433,3,093092_02_10249.jpg,http://memoria.bn.br/docreader/093092_02/10249
22,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1933,481,12,093092_02_10891.jpg,http://memoria.bn.br/docreader/093092_02/10891
23,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1933,491,7,093092_02_11030.jpg,http://memoria.bn.br/docreader/093092_02/11030
24,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1933,522,4,093092_02_11423.jpg,http://memoria.bn.br/docreader/093092_02/11423
25,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1933,557,7,093092_02_11906.jpg,http://memoria.bn.br/docreader/093092_02/11906
26,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1934,685,7,093092_02_13663.jpg,http://memoria.bn.br/docreader/093092_02/13663
27,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1934,812,3,093092_02_15357.jpg,http://memoria.bn.br/docreader/093092_02/15357
28,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1935,993,9,093092_02_17813.jpg,http://memoria.bn.br/docreader/093092_02/17813
29,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1935,000,7,093092_02_17907.jpg,http://memoria.bn.br/docreader/093092_02/17907
30,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1935,066,9,093092_02_18933.jpg,http://memoria.bn.br/docreader/093092_02/18933
31,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1935,067,4,093092_02_18944.jpg,http://memoria.bn.br/docreader/093092_02/18944
32,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1936,300,16,093092_02_22978.jpg,http://memoria.bn.br/docreader/093092_02/22978
33,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1936,343,7,093092_02_23701.jpg,http://memoria.bn.br/docreader/093092_02/23701
34,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1936,349,11,093092_02_23809.jpg,http://memoria.bn.br/docreader/093092_02/23809
35,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1936,490,12,093092_02_26279.jpg,http://memoria.bn.br/docreader/093092_02/26279
36,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1936,598,3,093092_02_28111.jpg,http://memoria.bn.br/docreader/093092_02/28111
37,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1938,955,11,093092_02_33467.jpg,http://memoria.bn.br/docreader/093092_02/33467
38,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1939,264,11,093092_02_37579.jpg,http://memoria.bn.br/docreader/093092_02/37579
39,"""conego olympio de castro""",2021-11-22,Diario Carioca (RJ) - 1930 a 1939,1939,385,2,093092_02_39183.jpg,http://memoria.bn.br/docreader/093092_02/39183
