,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,A União (RJ) - 1905 a 1950,1920,058,3,799670_3828.jpg,http://memoria.bn.br/docreader/799670/3828
1,"""conego olympio de castro""",2021-11-22,A União (RJ) - 1905 a 1950,1924,054,3,799670_5716.jpg,http://memoria.bn.br/docreader/799670/5716
2,"""conego olympio de castro""",2021-11-22,A União (RJ) - 1905 a 1950,1924,063,4,799670_5789.jpg,http://memoria.bn.br/docreader/799670/5789
3,"""conego olympio de castro""",2021-11-22,A União (RJ) - 1905 a 1950,1924,082,4,799670_5933.jpg,http://memoria.bn.br/docreader/799670/5933
4,"""conego olympio de castro""",2021-11-22,A União (RJ) - 1905 a 1950,1925,036,2,799670_6383.jpg,http://memoria.bn.br/docreader/799670/6383
5,"""conego olympio de castro""",2021-11-22,A União (RJ) - 1905 a 1950,1926,078,4,799670_7573.jpg,http://memoria.bn.br/docreader/799670/7573
6,"""conego olympio de castro""",2021-11-22,A União (RJ) - 1905 a 1950,1926,079,4,799670_7581.jpg,http://memoria.bn.br/docreader/799670/7581
7,"""conego olympio de castro""",2021-11-22,A União (RJ) - 1905 a 1950,1926,080,6,799670_7591.jpg,http://memoria.bn.br/docreader/799670/7591
