,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,Jornal do Commercio (RJ) - 1910 a 1919,NA,NA,7,NA,http://memoria.bn.br/docreader/364568_10/28918
1,"""conego olympio de castro""",2021-11-22,Jornal do Commercio (RJ) - 1910 a 1919,NA,NA,7,NA,http://memoria.bn.br/docreader/364568_10/48533
2,"""conego olympio de castro""",2021-11-22,Jornal do Commercio (RJ) - 1910 a 1919,NA,NA,4,NA,http://memoria.bn.br/docreader/364568_10/48578
3,"""conego olympio de castro""",2021-11-22,Jornal do Commercio (RJ) - 1910 a 1919,NA,NA,5,NA,http://memoria.bn.br/docreader/364568_10/49725
4,"""conego olympio de castro""",2021-11-22,Jornal do Commercio (RJ) - 1910 a 1919,NA,NA,3,NA,http://memoria.bn.br/docreader/364568_10/50353
