,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,Brasil Social : revista quinzenal illustrada (RJ) - 1924 a 1940,1925,05,24,161918_216.jpg,http://memoria.bn.br/docreader/161918/216
1,"""conego olympio de castro""",2021-11-22,Brasil Social : revista quinzenal illustrada (RJ) - 1924 a 1940,1925,13-0014,55,161918_612.jpg,http://memoria.bn.br/docreader/161918/612
2,"""conego olympio de castro""",2021-11-22,Brasil Social : revista quinzenal illustrada (RJ) - 1924 a 1940,1927,02,31,161918_1234.jpg,http://memoria.bn.br/docreader/161918/1234
3,"""conego olympio de castro""",2021-11-22,Brasil Social : revista quinzenal illustrada (RJ) - 1924 a 1940,1927,04,18,161918_1311.jpg,http://memoria.bn.br/docreader/161918/1311
4,"""conego olympio de castro""",2021-11-22,Brasil Social : revista quinzenal illustrada (RJ) - 1924 a 1940,1927,07,31,161918_1430.jpg,http://memoria.bn.br/docreader/161918/1430
5,"""conego olympio de castro""",2021-11-22,Brasil Social : revista quinzenal illustrada (RJ) - 1924 a 1940,1928,04,20,161918_1747.jpg,http://memoria.bn.br/docreader/161918/1747
