,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1920,951,10,178691_05_1060.jpg,http://memoria.bn.br/docreader/178691_05/1060
1,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1920,953,10,178691_05_1084.jpg,http://memoria.bn.br/docreader/178691_05/1084
2,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1920,978,5,178691_05_1387.jpg,http://memoria.bn.br/docreader/178691_05/1387
3,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1920,979,5,178691_05_1399.jpg,http://memoria.bn.br/docreader/178691_05/1399
4,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1920,3124,8,178691_05_3230.jpg,http://memoria.bn.br/docreader/178691_05/3230
5,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1920,209,11,178691_05_4287.jpg,http://memoria.bn.br/docreader/178691_05/4287
6,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1920,221,9,178691_05_4419.jpg,http://memoria.bn.br/docreader/178691_05/4419
7,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,263,9,178691_05_4877.jpg,http://memoria.bn.br/docreader/178691_05/4877
8,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,372,10,178691_05_6044.jpg,http://memoria.bn.br/docreader/178691_05/6044
9,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,380,8,178691_05_6136.jpg,http://memoria.bn.br/docreader/178691_05/6136
10,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,383,7,178691_05_6167.jpg,http://memoria.bn.br/docreader/178691_05/6167
11,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,384,11,178691_05_6181.jpg,http://memoria.bn.br/docreader/178691_05/6181
12,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,405,8,178691_05_6436.jpg,http://memoria.bn.br/docreader/178691_05/6436
13,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,503,13,178691_05_7491.jpg,http://memoria.bn.br/docreader/178691_05/7491
14,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,557,11,178691_05_8035.jpg,http://memoria.bn.br/docreader/178691_05/8035
15,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,578,5,178691_05_8241.jpg,http://memoria.bn.br/docreader/178691_05/8241
16,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,580,5,178691_05_8263.jpg,http://memoria.bn.br/docreader/178691_05/8263
17,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,581,2,178691_05_8274.jpg,http://memoria.bn.br/docreader/178691_05/8274
18,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1921,582,5,178691_05_8283.jpg,http://memoria.bn.br/docreader/178691_05/8283
19,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1922,608,12,178691_05_8548.jpg,http://memoria.bn.br/docreader/178691_05/8548
20,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1922,766,4,178691_05_10046.jpg,http://memoria.bn.br/docreader/178691_05/10046
21,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1922,804,5,178691_05_10407.jpg,http://memoria.bn.br/docreader/178691_05/10407
22,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1922,818,10,178691_05_10548.jpg,http://memoria.bn.br/docreader/178691_05/10548
23,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1922,820,4,178691_05_10562.jpg,http://memoria.bn.br/docreader/178691_05/10562
24,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1922,852,7,178691_05_10907.jpg,http://memoria.bn.br/docreader/178691_05/10907
25,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1922,887,9,178691_05_11259.jpg,http://memoria.bn.br/docreader/178691_05/11259
26,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1922,930,6,178691_05_11672.jpg,http://memoria.bn.br/docreader/178691_05/11672
27,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,971,7,178691_05_12055.jpg,http://memoria.bn.br/docreader/178691_05/12055
28,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,018,11,178691_05_12499.jpg,http://memoria.bn.br/docreader/178691_05/12499
29,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,021,13,178691_05_12533.jpg,http://memoria.bn.br/docreader/178691_05/12533
30,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,023,6,178691_05_12542.jpg,http://memoria.bn.br/docreader/178691_05/12542
31,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,038,4,178691_05_12698.jpg,http://memoria.bn.br/docreader/178691_05/12698
32,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,039,4,178691_05_12708.jpg,http://memoria.bn.br/docreader/178691_05/12708
33,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,100,10,178691_05_13316.jpg,http://memoria.bn.br/docreader/178691_05/13316
34,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,101,6,178691_05_13324.jpg,http://memoria.bn.br/docreader/178691_05/13324
35,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,101,11,178691_05_13329.jpg,http://memoria.bn.br/docreader/178691_05/13329
36,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,102,4,178691_05_13334.jpg,http://memoria.bn.br/docreader/178691_05/13334
37,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,114,10,178691_05_13476.jpg,http://memoria.bn.br/docreader/178691_05/13476
38,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,175,6,178691_05_14154.jpg,http://memoria.bn.br/docreader/178691_05/14154
39,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,236,10,178691_05_14914.jpg,http://memoria.bn.br/docreader/178691_05/14914
40,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,273,9,178691_05_15327.jpg,http://memoria.bn.br/docreader/178691_05/15327
41,"""conego olympio de castro""",2021-11-22,O Paiz (RJ) - 1920 a 1929,1923,286,11,178691_05_15461.jpg,http://memoria.bn.br/docreader/178691_05/15461
