,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,017,8,NA,http://memoria.bn.br/docreader/030015_05/546
1,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,024,13,NA,http://memoria.bn.br/docreader/030015_05/793
2,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,035,8,NA,http://memoria.bn.br/docreader/030015_05/1140
3,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,086,10,NA,http://memoria.bn.br/docreader/030015_05/2862
4,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,093,10,NA,http://memoria.bn.br/docreader/030015_05/3086
5,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,094,6,NA,http://memoria.bn.br/docreader/030015_05/3110
6,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,095,10,NA,http://memoria.bn.br/docreader/030015_05/3159
7,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,098,10,NA,http://memoria.bn.br/docreader/030015_05/3249
8,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,106,10,NA,http://memoria.bn.br/docreader/030015_05/3475
9,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,119,8,NA,http://memoria.bn.br/docreader/030015_05/3899
10,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,124,10,NA,http://memoria.bn.br/docreader/030015_05/4061
11,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,142,8,NA,http://memoria.bn.br/docreader/030015_05/4673
12,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,056,21,NA,http://memoria.bn.br/docreader/030015_05/5210
13,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,059,8,NA,http://memoria.bn.br/docreader/030015_05/5289
14,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,063,8,NA,http://memoria.bn.br/docreader/030015_05/5417
15,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,066,12,NA,http://memoria.bn.br/docreader/030015_05/5517
16,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,069,10,NA,http://memoria.bn.br/docreader/030015_05/5611
17,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,076,10,NA,http://memoria.bn.br/docreader/030015_05/5854
18,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,078,8,NA,http://memoria.bn.br/docreader/030015_05/5916
19,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,185,8,NA,http://memoria.bn.br/docreader/030015_05/6012
20,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,192,8,NA,http://memoria.bn.br/docreader/030015_05/6236
21,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,202,10,NA,http://memoria.bn.br/docreader/030015_05/6558
22,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,205,12,NA,http://memoria.bn.br/docreader/030015_05/6656
23,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,215,10,NA,http://memoria.bn.br/docreader/030015_05/6995
24,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,220,9,NA,http://memoria.bn.br/docreader/030015_05/7154
25,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,224,14,NA,http://memoria.bn.br/docreader/030015_05/7287
26,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,226,10,NA,http://memoria.bn.br/docreader/030015_05/7347
27,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,238,22,NA,http://memoria.bn.br/docreader/030015_05/7761
28,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,245,10,NA,http://memoria.bn.br/docreader/030015_05/7935
29,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,246,12,NA,http://memoria.bn.br/docreader/030015_05/7963
30,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,267,11,NA,http://memoria.bn.br/docreader/030015_05/8510
31,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1930,307,7,NA,http://memoria.bn.br/docreader/030015_05/9670
32,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,020,12,NA,http://memoria.bn.br/docreader/030015_05/10362
33,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,025,12,NA,http://memoria.bn.br/docreader/030015_05/10532
34,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,050,10,NA,http://memoria.bn.br/docreader/030015_05/11257
35,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,053,12,NA,http://memoria.bn.br/docreader/030015_05/11353
36,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,054,10,NA,http://memoria.bn.br/docreader/030015_05/11383
37,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,077,6,NA,http://memoria.bn.br/docreader/030015_05/12042
38,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,080,11,NA,http://memoria.bn.br/docreader/030015_05/12135
39,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,115,7,NA,http://memoria.bn.br/docreader/030015_05/13159
40,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,301,10,NA,http://memoria.bn.br/docreader/030015_05/19040
41,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,307,12,NA,http://memoria.bn.br/docreader/030015_05/19244
42,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1931,311,10,NA,http://memoria.bn.br/docreader/030015_05/19360
43,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,015,10,NA,http://memoria.bn.br/docreader/030015_05/19888
44,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,024,12,NA,http://memoria.bn.br/docreader/030015_05/20176
45,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,031,9,NA,http://memoria.bn.br/docreader/030015_05/20391
46,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,093,14,NA,http://memoria.bn.br/docreader/030015_05/22395
47,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,096,11,NA,http://memoria.bn.br/docreader/030015_05/22482
48,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,097,22,NA,http://memoria.bn.br/docreader/030015_05/22529
49,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,106,25,NA,http://memoria.bn.br/docreader/030015_05/22838
50,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,108,12,NA,http://memoria.bn.br/docreader/030015_05/22889
51,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,108,14,NA,http://memoria.bn.br/docreader/030015_05/22891
52,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,121,10,NA,http://memoria.bn.br/docreader/030015_05/23299
53,"""conego olympio de castro""",2021-11-22,Jornal do Brasil (RJ) - 1930 a 1939,1932,142,10,NA,http://memoria.bn.br/docreader/030015_05/23989
