,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1930,542,6,348970_03_233.jpg,http://memoria.bn.br/docreader/348970_03/233
1,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1930,652,7,348970_03_1135.jpg,http://memoria.bn.br/docreader/348970_03/1135
2,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1930,680,2,348970_03_1406.jpg,http://memoria.bn.br/docreader/348970_03/1406
3,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1930,684,7,348970_03_1450.jpg,http://memoria.bn.br/docreader/348970_03/1450
4,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1930,703,6,348970_03_1606.jpg,http://memoria.bn.br/docreader/348970_03/1606
5,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1930,722,4,348970_03_1750.jpg,http://memoria.bn.br/docreader/348970_03/1750
6,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1931,950,9,348970_03_4041.jpg,http://memoria.bn.br/docreader/348970_03/4041
7,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1931,993,5,348970_03_4495.jpg,http://memoria.bn.br/docreader/348970_03/4495
8,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1931,998,11,348970_03_4553.jpg,http://memoria.bn.br/docreader/348970_03/4553
9,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1931,000,4,348970_03_4568.jpg,http://memoria.bn.br/docreader/348970_03/4568
10,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1931,171,10,348970_03_6414.jpg,http://memoria.bn.br/docreader/348970_03/6414
11,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1932,236,8,348970_03_7130.jpg,http://memoria.bn.br/docreader/348970_03/7130
12,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1932,431,10,348970_03_9274.jpg,http://memoria.bn.br/docreader/348970_03/9274
13,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1932,460,1,348970_03_9613.jpg,http://memoria.bn.br/docreader/348970_03/9613
14,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1932,495,11,348970_03_10053.jpg,http://memoria.bn.br/docreader/348970_03/10053
15,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1932,573,2,348970_03_11052.jpg,http://memoria.bn.br/docreader/348970_03/11052
16,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1933,594,2,348970_03_11339.jpg,http://memoria.bn.br/docreader/348970_03/11339
17,"""conego olympio de castro""",2021-11-22,A Noite (RJ) - 1930 a 1939,1933,595,3,348970_03_11355.jpg,http://memoria.bn.br/docreader/348970_03/11355
