,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,Illustração Fluminense (RJ) - 1921 a 1925,1921,001,8,352110_8.jpg,http://memoria.bn.br/docreader/352110/8
1,"""conego olympio de castro""",2021-11-22,Illustração Fluminense (RJ) - 1921 a 1925,1921,002,20,352110_42.jpg,http://memoria.bn.br/docreader/352110/42
2,"""conego olympio de castro""",2021-11-22,Illustração Fluminense (RJ) - 1921 a 1925,1921,004,25,352110_111.jpg,http://memoria.bn.br/docreader/352110/111
